Category,description
neutral,the company said that the result of the third quarter do not include non-recurring item .
neutral,the company say the measure are no longer needed .
neutral,"the company serf approximately 3,000 customer in over 100 country ."
neutral,the company serf customer in various industry including process and resource industrial machinery architecture building construction electrical transportation electronics chemical petrochemical energy and information technology a well a catering and household .
neutral,the company will also shut one paper machine in finland and one in austria a well a two label paper machine in finland for up to 10 month helsinki-based upm said yesterday .
neutral,the company will disclose further detail including the anticipated transaction timetable and the name of the new investor within one week .
neutral,the company will issue an inaugural eurobond deal in the near future subject to market condition .
neutral,the company will propose a dividend of eur0 .12 per share for 2008 .
neutral,the construction project is scheduled to start in the second quarter of 2009 and the new building is scheduled to be in place by the end of 2010 .
neutral,"the contract also includes installation work in a new multistorey carpark for close on 1,000 vehicle ."
neutral,the contract comprises a log handling line a peeling line and a veneer drying and grading line .
neutral,the contract cover the supply of temporary heating equipment for lkab new pellet plant in kiruna in northern sweden .
neutral,the contract ha been allotted a per lowest price criterion .
neutral,the contract includes design construction delivery of equipment installation and commissioning .
neutral,the contract includes software licence application maintenance and training .
neutral,the contract incorporates a convergent charging rating solution for voice and data which includes internet gprs sm mm and wap .
neutral,the contract will take effect in 2009 for a five or ten year period .
negative,the current lay-offs are additional to the temporary lay-offs agreed in december 2008 and in may 2009 .
neutral,the deal also includes a ten-year maintenance agreement .
neutral,the deal includes an option for cramo to buy out the minority stake in 2011 .
neutral,the deal includes the entire personnel of planmill oy who will transfer to the new company a so-called old employee .
negative,the decision mean temporary lay-offs of fixed duration at the company nastola and jyvaskyla unit in southern and central finland respectively .
neutral,the decision of the french court relates to the claim raised by twenty-one former aspocomp s.a.s employee the company said .
neutral,the divested stake represented about 2.7 m share in okmetic capital .
neutral,the dividend payable annually shall be deducted from the share subscription price .
neutral,the duration of the contract is 37 month .
neutral,the duration of the lay-offs per employee will vary from one to six week .
neutral,the ecb can mainly target inflation .
neutral,the efore plant at saarijarvi in central finland is one of the largest employer in the region .
neutral,the employee negotiation are to address measure needed to adjust the operation to the present production situation .
neutral,"the engine ha an electrical output of 18,321 kw making it the largest gas powered generating set in the world ."
neutral,the estonian parliament wa set to vote on amendment to the excise duty law on wednesday that would add 0.42 kroon to the price of a liter of diesel and 0.45 kroon to the price of a liter of gasoline from the start of 2010 .
positive,the executive group will participate in the adjustment with a fixed-term 5 salary cut .
neutral,the facility will be used to refinance citycon existing credit facility the company said .
neutral,the financial detail of the acquisition were not disclosed .
neutral,the financial statement and interim report will be released around at 9.00 a.m. ( finnish time ) on the given date .
neutral,the financial statement release will be available after publishing on the company internet page at www.cargotec.com .
neutral,the finnish paint company acquired the remaining 49 pct that it did not own from ukraine lgu for an undisclosed sum .
neutral,"the finnish real estate investment company interavanti oyj said on monday ( 22 september ) that it ha agreed to sell it 65 ownership in the finnish ticket service company lippupiste oy to ct eventim ag ( 56,1 ) and to the managing director of lippupiste oy ."
